jee_main_score,jee_advanced_score,mock_test_score_avg,school_board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,admission_taken,dropout
78.95,59.22,59.86,CBSE,70.09,1,FIITJEE,5.4,Low,Upto 10th,Urban,Low,No,No,1
70.06,58.75,64.33,State,78.0,1,FIITJEE,5.5,Mid,Upto 10th,Urban,Low,Yes,No,0
81.07,37.27,60.83,ICSE,64.36,1,FIITJEE,7.0,Low,PG,Semi-Urban,Medium,Yes,No,1
93.32,60.72,69.33,ICSE,73.21,1,FIITJEE,2.1,Low,12th,Semi-Urban,Medium,Yes,Yes,0
68.72,77.73,82.37,CBSE,89.02,1,Allen,6.3,Mid,Graduate,Semi-Urban,High,No,Yes,0
68.72,45.61,58.75,State,79.28,1,Local,4.5,Mid,Graduate,Semi-Urban,Low,No,Yes,0
94.11,82.78,80.01,CBSE,76.31,1,Local,3.7,Mid,Upto 10th,Semi-Urban,Medium,No,Yes,0
82.74,73.8,58.62,CBSE,77.15,1,None,2.2,High,12th,Urban,Low,No,Yes,0
65.43,54.25,57.83,ICSE,71.11,1,Local,5.7,Mid,Upto 10th,Semi-Urban,Low,No,Yes,0
79.6,63.74,77.82,State,94.96,2,None,2.7,Mid,12th,Rural,High,Yes,No,0
65.51,91.57,79.06,CBSE,66.88,1,None,5.5,Mid,Graduate,Urban,Low,No,Yes,0
65.48,77.74,78.22,ICSE,77.11,1,FIITJEE,8.4,High,Upto 10th,Semi-Urban,Medium,Yes,Yes,0
75.39,66.14,52.21,CBSE,76.15,2,Allen,6.5,Mid,12th,Rural,Medium,No,Yes,0
45.21,62.2,62.41,ICSE,85.09,2,Allen,7.3,Low,Graduate,Urban,Medium,Yes,No,1
47.85,67.23,77.88,State,86.03,2,Local,3.1,Low,12th,Rural,Medium,Yes,No,1
64.13,57.81,68.5,CBSE,74.68,2,None,6.0,High,Graduate,Semi-Urban,Low,No,No,0
57.82,32.32,55.12,State,77.91,1,FIITJEE,2.2,High,PG,Rural,Medium,No,Yes,0
76.4,98.67,73.5,State,78.29,1,None,4.0,High,PG,Rural,High,Yes,Yes,0
59.29,68.49,59.42,ICSE,52.28,1,FIITJEE,8.0,High,12th,Urban,Low,No,No,0
