threshold,precision,recall,f1,accuracy,auc
0.0,0.21,1.0,0.34,0.21,0.99
0.05,0.85,0.99,0.91,0.96,0.99
0.1,0.85,0.99,0.91,0.96,0.99
0.15,0.86,0.99,0.92,0.96,0.99
0.2,0.95,0.98,0.96,0.98,0.99
0.25,0.97,0.97,0.97,0.99,0.99
0.3,0.97,0.97,0.97,0.99,0.99
0.35,0.98,0.97,0.97,0.99,0.99
0.4,0.99,0.95,0.97,0.99,0.99
0.45,0.99,0.93,0.96,0.98,0.99
0.5,0.99,0.93,0.96,0.98,0.99
0.55,0.99,0.92,0.96,0.98,0.99
0.6,1.0,0.92,0.96,0.98,0.99
0.65,1.0,0.9,0.95,0.98,0.99
0.7,1.0,0.9,0.95,0.98,0.99
0.75,1.0,0.9,0.95,0.98,0.99
0.8,1.0,0.87,0.93,0.97,0.99
0.85,1.0,0.82,0.9,0.96,0.99
0.9,1.0,0.81,0.89,0.96,0.99
0.95,1.0,0.81,0.89,0.96,0.99
1.0,1.0,0.81,0.89,0.96,0.99
