threshold,precision,recall,f1,accuracy,auc
0.0,0.21,1.0,0.34,0.21,1.0
0.05,0.99,1.0,0.99,1.0,1.0
0.1,0.99,1.0,0.99,1.0,1.0
0.15,0.99,1.0,0.99,1.0,1.0
0.2,0.99,1.0,0.99,1.0,1.0
0.25,0.99,1.0,0.99,1.0,1.0
0.3,0.99,1.0,0.99,1.0,1.0
0.35,0.99,1.0,0.99,1.0,1.0
0.4,0.99,0.99,0.99,1.0,1.0
0.45,0.99,0.99,0.99,1.0,1.0
0.5,0.99,0.99,0.99,1.0,1.0
0.55,0.99,0.99,0.99,1.0,1.0
0.6,0.99,0.99,0.99,1.0,1.0
0.65,0.99,0.99,0.99,1.0,1.0
0.7,0.99,0.99,0.99,1.0,1.0
0.75,0.99,0.99,0.99,1.0,1.0
0.8,0.99,0.99,0.99,1.0,1.0
0.85,0.99,0.99,0.99,1.0,1.0
0.9,0.99,0.99,0.99,1.0,1.0
0.95,0.99,0.99,0.99,1.0,1.0
1.0,0.0,0.0,0.0,0.79,1.0
