threshold,precision,recall,f1,accuracy,auc
0.0,0.21,1.0,0.34,0.21,0.97
0.05,0.4,0.98,0.57,0.69,0.97
0.1,0.44,0.94,0.6,0.74,0.97
0.15,0.52,0.93,0.67,0.81,0.97
0.2,0.59,0.92,0.72,0.85,0.97
0.25,0.68,0.92,0.78,0.89,0.97
0.3,0.75,0.92,0.83,0.92,0.97
0.35,0.82,0.91,0.86,0.94,0.97
0.4,0.92,0.9,0.91,0.96,0.97
0.45,0.97,0.88,0.92,0.97,0.97
0.5,0.99,0.85,0.91,0.97,0.97
0.55,1.0,0.79,0.88,0.96,0.97
0.6,1.0,0.74,0.85,0.95,0.97
0.65,1.0,0.68,0.81,0.93,0.97
0.7,1.0,0.61,0.76,0.92,0.97
0.75,1.0,0.52,0.69,0.9,0.97
0.8,1.0,0.38,0.55,0.87,0.97
0.85,1.0,0.24,0.38,0.84,0.97
0.9,1.0,0.1,0.18,0.81,0.97
0.95,0.0,0.0,0.0,0.79,0.97
1.0,0.0,0.0,0.0,0.79,0.97
