jee_main_score,jee_advanced_score,class_12_percent,daily_study_hours,family_income,peer_pressure_level,admission_taken,dropout
78.95,59.22,70.09,5.4,Low,Low,No,1
70.06,58.75,78.0,5.5,Mid,Low,No,0
81.07,37.27,64.36,7.0,Low,Medium,No,1
93.32,60.72,73.21,2.1,Low,Medium,Yes,0
68.72,77.73,89.02,6.3,Mid,High,Yes,0
68.72,45.61,79.28,4.5,Mid,Low,Yes,0
94.11,82.78,76.31,3.7,Mid,Medium,Yes,0
82.74,73.8,77.15,2.2,High,Low,Yes,0
65.43,54.25,71.11,5.7,Mid,Low,Yes,0
79.6,63.74,94.96,2.7,Mid,High,No,0
65.51,91.57,66.88,5.5,Mid,Low,Yes,0
65.48,77.74,77.11,8.4,High,Medium,Yes,0
75.39,66.14,76.15,6.5,Mid,Medium,Yes,0
45.21,62.2,85.09,7.3,Low,Medium,No,1
47.85,67.23,86.03,3.1,Low,Medium,No,1
64.13,57.81,74.68,6.0,High,Low,No,0
57.82,32.32,77.91,2.2,High,Medium,Yes,0
76.4,98.67,78.29,4.0,High,High,Yes,0
59.29,68.49,52.28,8.0,High,Low,No,0
52.23,72.37,59.11,3.3,High,Medium,No,0
92.52,65.07,68.95,6.7,Mid,Medium,No,0
68.84,54.24,69.38,6.5,Low,High,No,1
72.95,63.03,63.01,6.6,Low,Low,No,1
52.05,40.41,82.5,2.0,Mid,High,Yes,0
64.38,100.0,75.02,5.6,High,High,Yes,0
73.55,46.25,72.85,4.2,Mid,Medium,Yes,0
55.89,49.49,62.44,6.7,High,Medium,Yes,0
77.26,58.96,74.55,1.2,Low,High,No,1
63.59,86.61,50.0,5.2,Low,Low,Yes,0
67.92,66.23,73.37,5.0,High,Low,No,0
63.58,46.22,75.63,0.5,Mid,Low,No,0
97.93,86.07,77.42,2.7,High,High,No,0
71.81,77.7,59.36,0.8,High,Low,Yes,0
57.19,74.61,77.25,3.0,Low,Medium,Yes,0
83.52,77.45,64.59,5.6,High,High,No,0
54.91,100.0,66.88,4.9,Mid,High,Yes,0
74.92,100.0,82.18,4.8,High,High,Yes,0
44.56,55.01,95.14,2.4,Low,Low,No,1
53.41,91.98,75.51,6.7,Mid,Low,Yes,0
74.76,72.13,66.83,4.5,Mid,Medium,Yes,0
82.34,73.99,76.89,4.6,Low,Low,Yes,0
74.4,38.92,84.39,6.4,Low,Low,No,1
70.38,63.27,81.21,2.5,High,Low,Yes,0
67.78,52.99,100.0,5.0,Low,Low,Yes,0
51.3,79.25,67.85,5.3,Low,Medium,Yes,0
61.92,83.14,77.52,3.4,Low,Medium,Yes,0
65.55,32.81,90.49,5.8,Low,Medium,No,1
86.8,65.65,89.86,5.5,Mid,Low,No,0
76.81,83.95,55.5,4.3,Mid,Low,Yes,0
47.32,63.01,74.97,4.2,Mid,High,No,0
76.54,77.67,89.85,5.5,Low,High,Yes,0
66.61,71.62,100.0,6.1,High,Low,No,0
62.52,71.47,82.04,4.6,High,High,Yes,0
80.56,61.66,71.32,6.7,High,Medium,No,0
86.43,46.53,64.91,5.8,High,Medium,Yes,0
85.04,48.06,97.19,0.9,Mid,Medium,Yes,0
60.25,77.35,82.29,1.7,High,High,Yes,1
67.67,66.31,66.52,6.9,Mid,Medium,No,0
76.64,63.78,72.97,4.0,High,Medium,No,0
85.66,59.22,78.1,4.8,High,Medium,Yes,0
65.29,61.12,80.44,6.8,Mid,Low,Yes,0
69.4,82.75,66.0,4.5,Mid,Low,Yes,0
56.51,60.64,68.86,4.6,High,Medium,No,0
55.25,44.54,58.47,2.8,Low,Medium,Yes,0
83.38,77.9,85.4,5.2,High,Low,No,0
90.99,62.72,71.58,5.7,High,Low,No,0
70.99,66.5,79.66,3.3,High,High,Yes,0
86.05,91.72,89.22,2.7,Mid,Low,Yes,0
77.06,65.67,77.2,9.8,High,Medium,Yes,0
62.97,70.63,73.87,4.3,Low,Low,No,1
77.06,47.14,76.94,3.1,High,Medium,Yes,0
93.53,62.49,75.63,5.9,Low,High,Yes,0
71.5,75.75,87.46,4.4,Low,Low,No,1
93.91,41.11,78.11,2.3,Low,High,No,1
35.32,69.21,69.56,5.5,High,Medium,Yes,0
83.51,67.61,85.48,2.8,Mid,Medium,Yes,0
73.22,66.66,87.3,7.7,Mid,Medium,No,0
67.81,82.59,61.62,5.5,High,Medium,No,0
73.28,71.35,90.33,3.9,High,High,Yes,0
44.17,89.65,78.65,4.7,Low,Low,No,1
68.92,50.1,77.83,6.3,High,Low,No,0
77.0,68.17,85.07,4.9,Mid,Medium,Yes,0
92.69,67.35,69.33,8.7,High,Medium,Yes,0
64.74,48.89,84.54,6.8,High,High,No,0
60.68,81.3,71.23,5.5,High,High,Yes,0
64.98,100.0,60.25,2.6,Low,Medium,No,1
84.82,65.73,65.02,4.2,High,Medium,No,0
76.6,74.08,80.67,5.5,High,Low,No,0
64.58,67.35,65.55,2.9,High,Low,No,0
79.19,54.58,91.1,7.1,Mid,Low,No,0
73.36,36.87,86.89,2.6,Low,Medium,Yes,0
85.56,54.71,88.33,3.2,Low,High,Yes,0
62.17,43.73,76.25,3.4,Mid,High,No,0
67.41,93.27,77.58,6.0,Low,High,No,1
66.51,64.16,63.06,2.9,Mid,Medium,Yes,0
51.51,60.47,84.96,0.9,Low,Medium,Yes,0
76.15,80.23,78.8,6.7,Low,High,Yes,0
75.65,48.05,80.67,3.6,Low,High,Yes,0
72.07,53.73,91.88,2.4,High,High,No,0
68.72,67.09,68.94,3.0,Low,Medium,No,1
52.18,82.46,73.74,7.9,High,Low,Yes,0
66.11,74.03,78.27,3.2,High,Low,No,0
67.2,69.97,65.65,4.3,High,Medium,No,0
60.77,67.25,73.12,3.6,Mid,Low,Yes,0
69.74,72.4,79.93,2.0,Low,High,No,1
77.66,69.23,71.75,3.0,Low,Low,No,1
98.41,49.52,88.09,1.9,Low,High,No,1
74.44,66.74,59.89,6.4,High,Medium,Yes,0
75.61,48.82,86.23,4.7,Low,Medium,Yes,0
70.96,67.3,81.61,9.5,High,High,No,0
45.14,58.31,69.31,3.1,High,High,Yes,0
71.63,100.0,65.76,2.8,High,Low,Yes,0
72.84,65.36,54.2,7.6,High,High,No,0
100.0,43.53,67.05,6.6,Low,Medium,Yes,0
69.31,63.85,85.47,5.3,High,Medium,Yes,0
76.22,74.31,74.44,2.3,Mid,Low,No,0
71.51,92.77,86.63,8.0,Mid,High,No,0
55.64,56.57,68.8,4.4,Mid,High,Yes,0
88.0,40.68,82.07,3.6,High,Low,Yes,0
82.53,79.07,67.83,6.8,Low,Medium,No,1
83.07,43.91,65.34,4.5,Low,High,No,1
59.27,59.02,73.93,2.2,High,Low,No,0
91.64,61.88,68.35,4.6,High,Low,Yes,0
52.37,64.89,59.57,2.9,High,Low,Yes,0
80.22,77.03,73.18,0.0,Mid,Low,No,0
100.0,55.06,76.06,2.7,High,High,No,0
58.13,61.62,87.68,3.4,High,Low,Yes,0
64.07,65.77,84.37,2.2,Low,High,Yes,0
73.4,68.39,87.2,5.7,Low,Medium,No,1
64.95,67.57,82.2,2.9,Mid,Low,Yes,0
50.29,72.98,78.33,5.5,Mid,Low,Yes,0
72.96,79.5,62.71,2.0,Mid,Medium,Yes,0
57.13,72.28,76.5,6.3,Mid,Low,No,0
78.63,73.26,80.97,1.9,High,High,No,1
59.13,40.68,89.57,0.0,High,Medium,Yes,0
93.7,66.8,81.86,7.0,Mid,Medium,No,0
61.03,73.67,87.4,2.8,Mid,High,No,0
67.49,77.66,64.68,8.0,Low,High,No,1
83.39,54.92,71.74,5.6,Low,Medium,Yes,0
54.77,55.46,79.29,6.1,Low,Low,No,1
75.18,56.81,86.61,6.6,Mid,High,No,0
90.3,74.58,73.55,4.7,Low,High,Yes,0
49.5,82.54,74.18,4.7,Mid,High,Yes,0
74.58,59.48,81.87,7.1,High,Medium,No,0
75.64,80.53,63.74,4.7,Mid,Low,No,0
82.95,67.98,91.07,3.0,High,High,No,0
54.68,64.01,66.21,5.7,High,Medium,Yes,0
53.51,62.62,55.81,0.3,Mid,Medium,No,0
79.31,77.95,75.1,7.1,Low,Low,Yes,0
76.16,71.21,91.98,7.2,Mid,Medium,Yes,0
75.51,100.0,80.86,6.9,Low,Medium,Yes,0
76.85,52.36,82.51,6.8,High,High,No,0
62.48,74.29,75.41,4.3,High,High,No,0
75.25,57.53,73.48,4.3,High,High,No,0
76.1,52.09,59.55,2.0,High,Medium,Yes,0
62.0,65.83,52.41,8.0,Mid,Low,Yes,0
98.12,68.2,76.96,3.5,High,Low,No,0
78.63,100.0,88.13,5.2,Low,Low,No,1
55.32,63.05,78.44,5.0,Low,Medium,Yes,0
81.19,47.92,81.24,1.8,High,High,No,1
58.35,70.37,90.84,1.0,Mid,Medium,No,0
83.02,32.81,78.29,4.5,High,High,Yes,0
88.22,64.53,73.77,3.6,High,Medium,Yes,0
60.51,66.26,66.81,4.3,Low,Medium,No,1
85.49,78.71,95.22,6.6,Mid,Low,Yes,0
77.78,81.58,80.27,4.9,Mid,Medium,Yes,0
83.51,57.94,65.56,6.0,Low,Low,No,1
98.56,63.59,63.29,5.4,Low,Medium,Yes,0
68.56,53.74,87.53,3.9,Low,Low,No,1
61.45,47.95,64.63,2.5,Mid,Medium,Yes,0
59.55,70.96,93.54,5.0,Low,Medium,No,1
60.58,45.62,50.0,4.7,Low,High,Yes,0
70.92,59.37,89.23,6.3,Low,High,Yes,0
76.78,50.08,79.87,4.2,High,High,Yes,0
75.87,74.79,76.19,3.9,Mid,Medium,No,0
83.58,94.82,73.25,4.0,Mid,High,Yes,0
72.18,45.17,93.91,2.7,High,High,Yes,0
92.35,36.35,82.07,7.4,Mid,Medium,Yes,0
68.29,64.0,65.97,6.8,Low,Medium,Yes,0
100.0,66.25,57.81,2.1,High,High,No,0
80.76,69.5,76.77,6.1,Low,High,Yes,0
60.0,58.86,74.99,0.8,Low,Medium,Yes,0
57.01,62.79,59.8,6.5,Low,Medium,Yes,0
78.75,71.88,74.45,3.1,Low,Low,Yes,0
68.87,82.65,69.26,5.2,Mid,Low,No,0
82.0,34.72,75.09,0.6,High,Medium,Yes,0
78.63,60.1,82.26,2.1,High,Medium,No,0
70.98,69.42,89.93,5.4,Low,High,No,1
60.14,51.31,84.09,3.1,High,Low,No,0
50.79,93.7,67.79,2.8,High,High,Yes,0
65.75,55.83,78.69,7.3,Low,Low,No,1
83.99,65.34,75.63,8.9,Low,High,Yes,0
75.0,74.9,61.68,6.4,Mid,Low,No,0
54.56,56.54,78.98,2.3,Mid,Medium,Yes,0
74.42,36.45,93.57,8.0,Low,Medium,Yes,0
77.39,59.14,75.32,1.4,Mid,Medium,Yes,0
59.63,82.47,59.06,3.9,Mid,High,No,0
74.15,60.61,75.3,4.6,High,Low,Yes,0
72.81,52.46,62.86,8.3,Low,High,No,1
56.0,80.81,83.64,6.3,High,Medium,Yes,0
77.01,60.71,80.25,3.6,High,Low,Yes,0
79.85,57.84,73.29,2.6,Low,Low,Yes,0
87.16,68.39,71.69,6.5,High,High,No,0
86.75,78.33,72.88,3.4,Mid,Medium,No,0
52.71,100.0,75.08,4.9,Mid,High,Yes,0
58.87,79.24,67.28,1.8,Mid,High,Yes,1
79.21,84.56,61.12,5.6,Mid,Medium,Yes,0
79.19,57.9,86.39,5.5,Mid,Medium,Yes,0
79.21,49.59,71.15,2.0,High,High,Yes,0
100.0,67.0,76.67,6.6,Low,Low,Yes,0
79.99,67.71,77.85,5.6,High,Medium,No,0
87.9,48.74,78.22,6.0,High,Medium,Yes,0
85.36,63.2,63.26,3.7,Mid,Medium,No,0
81.12,72.39,58.24,4.9,Mid,Medium,No,0
